"date","close","volume","open","high","low"
"2018/07/02","121.5800","5362766.0000","121.3400","121.7300","120.1100"
"2018/06/29","121.3400","7308698.0000","122.2400","123.1800","121.1900"
"2018/06/28","122.0000","5296030.0000","121.7800","122.4100","121.0700"
"2018/06/27","121.6100","5665840.0000","122.1300","122.9700","121.4527"
"2018/06/26","122.3500","5492642.0000","122.4900","122.8900","121.6000"
"2018/06/25","122.5900","8084394.0000","122.8200","123.4300","121.5100"
"2018/06/22","122.8400","10231590.0000","121.6800","123.3800","121.6500"
"2018/06/21","121.4500","4417134.0000","121.8300","122.2400","121.1100"
"2018/06/20","122.0400","6275329.0000","122.4200","122.6600","121.6600"
"2018/06/19","122.5700","8569090.0000","120.6600","123.1735","120.5700"
"2018/06/18","121.3200","6783598.0000","121.6100","121.8125","120.2500"
"2018/06/15","122.6100","13172950.0000","122.1000","122.7285","121.2401"
"2018/06/14","122.4100","5238722.0000","122.7100","123.1500","122.0900"
"2018/06/13","122.6300","5689761.0000","123.1500","124.0900","122.4600"
"2018/06/12","122.5400","5207920.0000","123.1600","123.1800","121.9500"
"2018/06/11","122.6600","5502245.0000","124.2700","124.3400","122.5500"
"2018/06/08","124.0600","6207388.0000","123.3600","124.8450","123.3300"
"2018/06/07","123.3300","7412738.0000","123.0000","123.4900","122.2700"
"2018/06/06","122.7900","6798091.0000","121.9700","122.7900","121.4616"
"2018/06/05","121.4800","5123041.0000","122.0500","122.5550","120.9000"
"2018/06/04","121.9500","4851726.0000","121.8500","122.3700","121.0200"
"2018/06/01","121.2600","5740366.0000","120.3800","121.3200","119.9700"
"2018/05/31","119.6200","10335900.0000","120.9200","121.2500","119.5400"
"2018/05/30","120.9700","6422574.0000","120.1200","121.5800","119.5400"
"2018/05/29","119.4000","9820181.0000","120.5000","120.8000","118.6210"
"2018/05/25","121.4700","4594738.0000","121.5600","122.8000","121.1300"
"2018/05/24","122.2500","6920528.0000","123.2200","123.3900","121.5500"
"2018/05/23","123.4500","4930681.0000","122.8700","123.9700","122.7400"
"2018/05/22","122.9100","7170167.0000","123.8000","124.2400","122.7600"
"2018/05/21","123.7200","5550196.0000","124.6200","124.9900","123.3200"
"2018/05/18","124.2400","5432512.0000","123.7800","124.4400","123.2800"
"2018/05/17","123.8500","6452206.0000","125.4900","125.5900","123.5500"
"2018/05/16","125.3500","3802599.0000","125.4400","125.9000","125.0000"
"2018/05/15","125.1300","5874364.0000","125.5400","125.8300","124.4000"
"2018/05/14","126.0600","6101624.0000","127.3500","127.6100","125.6000"
"2018/05/11","127.2400","5716461.0000","125.7700","127.6000","125.7600"
